#{"t_start": 1740379874.6132984, "env_id": "ALE/Breakout-v5"}
r,l,t
0.0,179,312.185886
2.0,250,312.760317
2.0,216,313.311018
1.0,219,313.79558
3.0,280,314.474128
0.0,172,314.865837
0.0,183,315.26006
2.0,229,315.847319
2.0,238,316.421168
3.0,292,317.214636
4.0,322,318.014263
4.0,302,318.785137
4.0,329,319.564001
2.0,259,320.141769
0.0,172,320.542441
7.0,479,321.680171
5.0,361,322.588717
1.0,200,323.002612
2.0,235,323.564633
1.0,211,324.026783
1.0,202,324.536395
1.0,204,324.986321
3.0,308,325.725505
4.0,368,326.616411
2.0,241,327.152813
0.0,159,327.508596
2.0,254,328.050163
0.0,158,328.468364
2.0,254,329.037135
5.0,359,329.983465
2.0,252,330.535859
2.0,251,331.101768
2.0,247,331.674201
2.0,253,332.298507
1.0,215,332.809237
0.0,158,333.18346
1.0,226,333.686837
3.0,282,334.331672
4.0,329,335.209748
0.0,181,335.58489
3.0,286,336.282225
5.0,383,337.270292
3.0,294,337.929042
1.0,190,338.359451
2.0,241,338.947278
2.0,255,339.545704
3.0,287,340.218354
0.0,171,340.568151
2.0,268,341.185477
3.0,266,341.8291
2.0,226,342.348119
1.0,209,342.78172
3.0,276,343.523194
0.0,172,343.980245
2.0,243,344.69551
4.0,322,345.534868
3.0,294,346.239626
2.0,206,346.701877
2.0,214,347.216776
1.0,195,347.666024
0.0,158,348.082237
0.0,175,348.53875
2.0,231,349.129169
3.0,287,349.86309
4.0,322,350.780745
0.0,179,351.220602
1.0,195,351.740437
1.0,203,352.267652
0.0,166,352.708491
4.0,334,353.59185
3.0,277,354.267409
0.0,157,354.61037
2.0,235,355.170419
0.0,170,355.585283
1.0,209,356.072997
2.0,235,356.631869
5.0,379,357.560498
4.0,316,358.318281
0.0,164,358.663589
3.0,274,359.354629
2.0,232,359.913089
0.0,172,360.335023
0.0,171,360.777359
1.0,211,361.226319
4.0,327,362.002585
6.0,434,363.125399
5.0,343,363.996297
3.0,307,364.736305
0.0,165,365.098804
2.0,211,365.640443
5.0,347,366.729385
0.0,157,367.101422
2.0,256,367.677328
2.0,237,368.175485
1.0,196,368.647585
3.0,275,369.301077
1.0,193,369.740704
3.0,269,370.358018
3.0,280,371.015041
2.0,244,371.608068
2.0,270,372.263591
0.0,167,372.646115
0.0,183,373.055473
2.0,225,373.583297
0.0,158,373.954798
2.0,239,374.545127
3.0,281,375.216058
1.0,199,375.679144
2.0,219,376.199198
0.0,147,376.530085
2.0,232,377.098349
0.0,180,377.483564
5.0,371,378.40229
2.0,236,378.952066
2.0,225,379.504976
6.0,442,380.593301
0.0,152,380.940382
2.0,219,381.441368
2.0,244,381.991771
1.0,205,382.423841
3.0,271,383.042062
2.0,208,383.535289
0.0,168,383.950331
0.0,182,384.358268
1.0,189,384.792835
0.0,159,385.161463
2.0,269,385.772948
2.0,242,386.35052
4.0,345,387.236018
4.0,323,388.046769
0.0,173,388.416606
4.0,338,389.20355
2.0,251,389.802191
4.0,322,390.662832
4.0,319,391.464932
0.0,171,391.889956
0.0,178,392.313319
4.0,289,393.023371
5.0,314,393.753691
3.0,266,394.466086
0.0,162,394.828306
2.0,267,395.470803
5.0,328,396.270276
4.0,328,397.067444
4.0,313,397.837288
2.0,213,398.361073
3.0,287,399.092552
2.0,247,399.655858
2.0,243,400.228526
1.0,204,400.692366
5.0,357,401.580155
3.0,270,402.262712
0.0,155,402.646015
3.0,273,403.278373
2.0,223,403.838213
2.0,249,404.389796
0.0,159,404.771062
2.0,254,405.383312
2.0,245,406.006324
4.0,348,406.832586
4.0,371,407.700305
1.0,216,408.193632
1.0,219,408.686365
2.0,233,409.282964
2.0,265,410.072236
2.0,228,410.610751
5.0,372,411.548554
2.0,244,412.087775
6.0,401,413.164047
1.0,181,413.57597
2.0,228,414.123575
5.0,381,415.088476
2.0,248,415.708427
4.0,335,416.526009
2.0,233,417.101695
2.0,254,417.67775
0.0,163,418.068405
0.0,176,418.470541
2.0,255,419.092527
3.0,272,419.792949
2.0,252,420.418074
4.0,352,421.265296
2.0,237,421.86391
2.0,235,422.384696
2.0,233,422.93648
0.0,168,423.293991
0.0,173,423.74617
2.0,236,424.273736
0.0,154,424.656816
3.0,292,425.331428
2.0,239,425.891596
1.0,214,426.419077
3.0,282,427.100177
1.0,205,427.599701
3.0,258,428.175677
1.0,221,428.705228
2.0,258,429.374143
3.0,253,429.997724
1.0,198,430.444312
3.0,289,431.133631
3.0,300,431.911678
0.0,157,432.30708
2.0,236,432.870783
3.0,276,433.58151
0.0,157,433.930426
2.0,233,434.47969
5.0,350,435.326907
3.0,316,436.066505
0.0,176,436.452783
2.0,248,437.029477
2.0,223,437.580936
1.0,212,438.038611
4.0,320,438.787172
2.0,241,439.366569
4.0,296,440.06658
2.0,255,440.656619
2.0,281,441.341481
2.0,230,441.924482
4.0,344,442.762403
3.0,289,443.490265
5.0,354,444.42072
2.0,229,444.925095
3.0,266,445.639557
3.0,255,446.26655
3.0,253,446.834148
1.0,192,447.327191
4.0,340,448.175647
1.0,205,448.662989
0.0,174,449.074757
3.0,292,449.764475
0.0,156,450.12705
2.0,231,450.668037
2.0,244,451.210886
3.0,294,451.952872
0.0,168,452.322546
3.0,286,453.051323
0.0,166,453.442946
0.0,165,453.777883
0.0,158,454.165842
1.0,217,454.708634
5.0,360,455.579834
4.0,319,456.419564
0.0,168,456.769433
1.0,200,457.211791
2.0,236,457.806453
4.0,333,458.624648
4.0,271,459.300391
7.0,445,460.475652
1.0,201,460.978608
3.0,322,461.772271
3.0,280,462.517538
0.0,180,463.010824
2.0,226,463.536289
3.0,275,464.289889
3.0,286,465.079325
4.0,331,465.955888
0.0,169,466.414945
0.0,176,466.782972
2.0,227,467.320851
1.0,213,467.835291
4.0,340,468.654477
3.0,274,469.399053
3.0,303,470.191251
5.0,361,471.077004
2.0,212,471.601051
1.0,196,472.057746
4.0,328,472.825281
5.0,362,473.716854
2.0,224,474.277284
3.0,317,475.015606
8.0,516,476.366055
1.0,203,476.831402
3.0,254,477.49146
2.0,247,478.048892
2.0,227,478.568662
2.0,268,479.216273
0.0,156,479.641581
3.0,259,480.270226
0.0,182,480.682823
3.0,296,481.369804
2.0,241,481.956017
0.0,178,482.421144
0.0,168,482.812996
3.0,288,483.502831
2.0,260,484.117291
0.0,180,484.497014
2.0,246,485.061561
2.0,233,485.597479
4.0,332,486.41814
3.0,283,487.10239
0.0,160,487.499902
0.0,170,487.89786
0.0,176,488.292215
2.0,238,488.88271
6.0,375,489.807334
2.0,221,490.328045
1.0,200,490.789529
4.0,330,491.636003
2.0,238,492.173149
3.0,257,492.792374
4.0,342,493.592844
3.0,281,494.300241
2.0,222,494.833867
2.0,274,495.468277
3.0,302,496.208977
2.0,232,496.850065
0.0,169,497.271424
2.0,244,497.827285
4.0,290,498.543178
2.0,226,499.133677
3.0,266,499.780078
7.0,279,500.640965
4.0,258,501.342487
2.0,213,501.906274
6.0,374,502.874214
2.0,247,503.45549
9.0,394,504.366542
1.0,185,504.809962
6.0,393,505.824768
7.0,290,506.491139
5.0,348,507.384613
7.0,422,508.413293
7.0,419,509.499504
2.0,217,510.055152
5.0,381,511.021495
3.0,293,511.741126
2.0,240,512.360893
0.0,177,512.768811
2.0,235,513.34673
0.0,171,513.73335
2.0,248,514.288593
3.0,281,514.97626
2.0,234,515.569831
3.0,289,516.293948
5.0,369,517.185232
4.0,309,518.013902
2.0,232,518.561676
5.0,345,519.486495
2.0,252,520.053517
3.0,320,520.887491
0.0,158,521.289927
1.0,205,521.760044
0.0,163,522.18482
0.0,167,522.609478
3.0,302,523.361475
3.0,278,524.019673
0.0,173,524.440944
5.0,363,525.400395
2.0,255,526.000209
0.0,155,526.379835
2.0,238,526.936347
2.0,236,527.495983
2.0,239,528.091897
2.0,253,528.6798
4.0,315,529.559627
2.0,226,530.224783
0.0,179,530.62574
3.0,291,531.345403
0.0,158,531.694291
2.0,261,532.296613
2.0,241,532.925839
0.0,156,533.261919
0.0,158,533.626211
2.0,247,534.199215
2.0,243,534.794809
4.0,349,535.697504
2.0,231,536.237925
2.0,237,536.799047
0.0,158,537.150856
0.0,180,537.550565
3.0,274,538.264292
6.0,366,539.19018
0.0,167,539.589289
3.0,309,540.332771
2.0,232,540.93841
4.0,310,541.760575
0.0,172,542.14521
0.0,179,542.532041
3.0,262,543.184292
3.0,275,543.924018
2.0,238,544.519447
3.0,296,545.2722
2.0,231,545.820333
0.0,174,546.212907
2.0,236,546.843157
3.0,283,547.539976
1.0,206,548.043692
0.0,162,548.451307
4.0,327,549.25526
1.0,205,549.697354
4.0,286,550.446076
3.0,280,551.144849
0.0,171,551.559633
2.0,227,552.073485
2.0,231,552.673901
0.0,174,553.092222
2.0,250,553.651289
0.0,180,554.070286
5.0,366,554.969266
3.0,253,555.576921
0.0,173,556.016914
0.0,154,556.381666
1.0,210,556.885365
7.0,465,558.085319
3.0,276,558.747519
0.0,182,559.156049
3.0,266,559.760279
2.0,252,560.37454
