#{"t_start": 1740424077.2655869, "env_id": "ALE/Breakout-ram-v5"}
r,l,t
2.0,197,192.970172
3.0,210,193.198291
2.0,195,193.406308
2.0,195,193.6163
5.0,294,193.930012
0.0,120,194.062632
2.0,215,194.291601
3.0,223,194.530732
2.0,179,194.724391
3.0,224,194.967424
3.0,223,195.20617
0.0,120,195.337385
0.0,120,195.468662
2.0,215,195.698541
1.0,149,195.861285
0.0,120,195.992484
4.0,272,196.282438
0.0,120,196.414738
2.0,195,196.622598
2.0,198,196.835813
3.0,210,197.060646
0.0,120,197.193428
1.0,148,197.354166
0.0,121,197.487519
3.0,210,197.712023
2.0,196,197.924795
2.0,196,198.135019
1.0,149,198.296475
1.0,149,198.458868
1.0,148,198.62104
2.0,179,198.813025
1.0,149,198.976463
2.0,196,199.186765
2.0,179,199.380152
0.0,120,199.511443
3.0,210,199.739767
1.0,149,199.901712
3.0,223,200.143172
3.0,243,200.402856
0.0,120,200.534137
5.0,321,200.87486
0.0,121,201.007962
2.0,179,201.200804
2.0,195,201.409861
3.0,223,201.646828
0.0,120,201.780582
3.0,224,202.019763
2.0,179,202.213154
0.0,120,202.344781
2.0,195,202.556044
3.0,223,202.795574
2.0,195,203.003369
2.0,179,203.196831
0.0,120,203.329212
0.0,121,203.460953
3.0,210,203.687584
2.0,195,203.896641
2.0,195,204.106026
2.0,195,204.315716
0.0,120,204.446475
3.0,223,204.684639
3.0,223,204.925076
3.0,223,205.161819
2.0,195,205.371867
0.0,120,205.503349
3.0,223,205.743653
2.0,179,205.947017
2.0,179,206.145788
2.0,195,206.365072
3.0,223,206.606348
2.0,196,206.817115
3.0,210,207.041846
0.0,120,207.173761
4.0,254,207.4505
0.0,120,207.586044
1.0,148,207.746887
3.0,210,207.971533
3.0,244,208.233384
0.0,120,208.36429
1.0,148,208.524873
1.0,148,208.686505
0.0,120,208.819339
0.0,120,208.950649
2.0,179,209.143116
2.0,178,209.335431
3.0,223,209.606072
2.0,196,209.939448
2.0,179,210.135319
3.0,242,210.398761
6.0,368,210.790826
3.0,223,211.028391
2.0,195,211.23837
1.0,167,211.419775
3.0,223,211.661191
1.0,150,211.823214
3.0,223,212.062646
3.0,223,212.301805
1.0,148,212.463742
3.0,223,212.701798
3.0,223,212.941531
2.0,196,213.154106
1.0,148,213.316102
2.0,179,213.51257
0.0,120,213.646616
1.0,148,213.807304
3.0,225,214.049799
1.0,148,214.210813
2.0,179,214.404513
2.0,179,214.597879
3.0,223,214.837679
2.0,195,215.047236
3.0,225,215.287753
2.0,196,215.498054
2.0,179,215.693899
2.0,195,215.9037
1.0,148,216.064571
2.0,195,216.274782
2.0,216,216.507885
2.0,179,216.700704
2.0,197,216.914259
0.0,121,217.047261
2.0,195,217.25967
3.0,223,217.497148
5.0,302,217.820435
3.0,225,218.061815
3.0,223,218.303143
0.0,120,218.435055
2.0,179,218.629199
0.0,120,218.760563
1.0,167,218.941924
0.0,120,219.073645
3.0,223,219.313227
3.0,223,219.552687
2.0,195,219.765049
3.0,224,220.00581
2.0,179,220.198162
0.0,120,220.329676
1.0,148,220.492357
2.0,195,220.702352
3.0,242,220.964477
2.0,195,221.172877
5.0,278,221.472526
3.0,243,221.733104
3.0,210,221.958809
2.0,195,222.169837
2.0,195,222.382209
2.0,195,222.590951
6.0,328,222.940738
2.0,196,223.152288
4.0,293,223.467858
2.0,195,223.678047
2.0,196,223.889012
2.0,195,224.099054
2.0,215,224.331615
0.0,120,224.463264
2.0,179,224.657485
3.0,223,224.895972
0.0,120,225.02924
0.0,120,225.161072
2.0,195,225.371119
3.0,223,225.610654
2.0,179,225.805873
2.0,195,226.014801
3.0,210,226.243979
2.0,195,226.456214
3.0,223,226.694825
2.0,195,226.907433
2.0,195,227.120506
2.0,195,227.333235
2.0,179,227.526766
0.0,120,227.661039
0.0,120,227.793174
2.0,196,228.00378
0.0,120,228.136865
2.0,179,228.333069
2.0,179,228.530114
2.0,195,228.742814
3.0,244,229.005585
2.0,179,229.200444
2.0,195,229.413061
1.0,149,229.576869
2.0,195,229.790812
2.0,179,229.9854
0.0,122,230.120757
0.0,120,230.254501
2.0,195,230.466428
2.0,195,230.678353
2.0,195,230.888371
0.0,120,231.0226
1.0,149,231.185481
0.0,121,231.32015
2.0,179,231.51616
0.0,120,231.648463
0.0,121,231.782184
3.0,210,232.011761
1.0,148,232.175461
0.0,121,232.309968
2.0,179,232.505429
2.0,195,232.714633
0.0,121,232.848999
0.0,120,232.983387
9.0,313,233.316843
2.0,180,233.514149
2.0,195,233.727132
3.0,223,233.96771
3.0,225,234.211983
0.0,120,234.346664
4.0,293,234.660409
3.0,223,234.902451
2.0,195,235.112307
3.0,243,235.374912
4.0,276,235.672385
2.0,196,235.882705
3.0,223,236.123747
0.0,120,236.257873
0.0,120,236.392215
0.0,120,236.52614
3.0,227,236.772718
0.0,120,236.905526
2.0,179,237.098327
1.0,148,237.259012
0.0,120,237.391975
2.0,179,237.587447
2.0,195,237.798227
3.0,244,238.058792
3.0,223,238.301175
2.0,179,238.495669
3.0,246,238.761069
2.0,179,238.956497
2.0,196,239.170357
2.0,195,239.380348
1.0,167,239.569884
0.0,120,239.84912
2.0,179,240.059429
2.0,195,240.272877
4.0,293,240.590411
2.0,195,240.803935
0.0,120,240.941778
0.0,120,241.076488
0.0,120,241.210839
3.0,210,241.438817
0.0,121,241.576825
2.0,195,241.788766
3.0,225,242.029579
2.0,195,242.241885
0.0,120,242.377701
2.0,216,242.611612
2.0,195,242.824511
0.0,120,242.958672
0.0,120,243.0944
2.0,195,243.304411
3.0,224,243.543823
2.0,195,243.754247
0.0,120,243.891958
2.0,178,244.086957
2.0,179,244.283078
3.0,210,244.50983
